timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1490005224444,105,Account,200,OK,Thread Group 2-107,text,true,,330,158,11,21,105,0,53
1490005224454,97,Account,200,OK,Thread Group 2-108,text,true,,330,159,10,20,97,0,44
1490005224449,104,Discount,200,OK,Thread Group 1-131,text,true,,331,198,11,20,102,0,48
1490005224459,95,Discount,200,OK,Thread Group 1-132,text,true,,331,199,10,20,94,0,45
1490005224464,95,Account,200,OK,Thread Group 2-109,text,true,,330,156,10,19,95,0,44
1490005224469,95,Discount,200,OK,Thread Group 1-133,text,true,,331,198,10,19,95,0,45
1490005224473,101,Account,200,OK,Thread Group 2-110,text,true,,330,158,10,20,100,0,44
1490005224480,97,Discount,200,OK,Thread Group 1-134,text,true,,331,199,10,20,96,0,45
1490005224483,101,Account,200,OK,Thread Group 2-111,text,true,,330,159,10,20,101,0,45
1490005224499,97,Discount,200,OK,Thread Group 1-135,text,true,,331,199,11,21,97,0,47
1490005224500,97,Discount,200,OK,Thread Group 1-136,text,true,,330,200,11,22,97,0,46
1490005224499,99,Account,200,OK,Thread Group 2-112,text,true,,330,156,11,20,99,0,46
1490005224505,95,Account,200,OK,Thread Group 2-113,text,true,,330,158,10,19,93,0,45
1490005224511,94,Discount,200,OK,Thread Group 1-137,text,true,,330,197,10,19,94,0,46
1490005224515,94,Account,200,OK,Thread Group 2-114,text,true,,330,159,10,19,92,0,44
1490005224521,94,Discount,200,OK,Thread Group 1-138,text,true,,330,198,10,19,94,0,45
1490005224525,95,Account,200,OK,Thread Group 2-115,text,true,,330,156,10,19,95,0,45
1490005224531,96,Discount,200,OK,Thread Group 1-139,text,true,,331,198,10,20,96,0,46
1490005224534,94,Account,200,OK,Thread Group 2-116,text,true,,330,158,10,19,94,0,45
1490005224541,96,Discount,200,OK,Thread Group 1-140,text,true,,331,199,10,19,96,0,46
1490005224544,98,Account,200,OK,Thread Group 2-117,text,true,,330,159,10,19,98,0,47
1490005224552,99,Discount,200,OK,Thread Group 1-141,text,true,,331,198,10,20,99,0,46
1490005224554,99,Account,200,OK,Thread Group 2-118,text,true,,330,156,10,19,99,0,48
1490005224565,94,Account,200,OK,Thread Group 2-119,text,true,,330,158,9,19,93,0,45
1490005224563,97,Discount,200,OK,Thread Group 1-142,text,true,,331,199,10,18,97,0,48
1490005224572,98,Discount,200,OK,Thread Group 1-143,text,true,,331,199,10,19,98,0,46
1490005224575,95,Account,200,OK,Thread Group 2-120,text,true,,330,159,9,19,95,0,45
1490005224582,93,Discount,200,OK,Thread Group 1-144,text,true,,330,200,9,18,93,0,45
1490005224586,94,Account,200,OK,Thread Group 2-121,text,true,,330,156,9,18,94,0,45
1490005224597,94,Account,200,OK,Thread Group 2-122,text,true,,330,158,9,19,94,0,46
1490005224594,97,Discount,200,OK,Thread Group 1-145,text,true,,330,197,10,19,97,0,46
1490005224604,93,Discount,200,OK,Thread Group 1-146,text,true,,330,198,9,18,93,0,45
1490005224607,94,Account,200,OK,Thread Group 2-123,text,true,,330,159,9,18,94,0,45
1490005224615,94,Discount,200,OK,Thread Group 1-147,text,true,,331,198,10,19,94,0,46
1490005224617,94,Account,200,OK,Thread Group 2-124,text,true,,330,156,9,18,93,0,45
1490005224625,94,Discount,200,OK,Thread Group 1-148,text,true,,331,199,10,19,94,0,45
1490005224626,94,Account,200,OK,Thread Group 2-125,text,true,,330,158,9,19,93,0,45
1490005224636,94,Discount,200,OK,Thread Group 1-149,text,true,,331,198,10,19,94,0,45
1490005224637,93,Account,200,OK,Thread Group 2-126,text,true,,330,159,9,19,92,0,45
1490005224646,97,Discount,200,OK,Thread Group 1-150,text,true,,331,199,10,19,97,0,45
1490005224650,99,Account,200,OK,Thread Group 2-127,text,true,,330,156,10,20,99,0,45
1490005224656,95,Discount,200,OK,Thread Group 1-151,text,true,,331,199,10,19,95,0,45
1490005224665,94,Discount,200,OK,Thread Group 1-152,text,true,,330,200,9,19,94,0,46
1490005224664,95,Account,200,OK,Thread Group 2-128,text,true,,330,158,10,19,95,0,44
1490005224673,96,Account,200,OK,Thread Group 2-129,text,true,,330,159,9,18,96,0,46
1490005224677,93,Discount,200,OK,Thread Group 1-153,text,true,,330,197,10,18,93,0,45
1490005224683,93,Account,200,OK,Thread Group 2-130,text,true,,330,156,10,19,93,0,44
1490005224687,94,Discount,200,OK,Thread Group 1-154,text,true,,330,198,10,19,94,0,45
